i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
34,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,ctx,483392,0,0,0,0,0,0,384,25.777345
34,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,heap,483392,0,0,0,0,0,0,784,25.777393
34,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,usage,483392,0,0,0,0,0,0,86016,25.777437
35,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,write,262656,547834538,1067645,69915,547834538,272538407,286371840,3600367304053,26.329689
35,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,stack,262656,0,0,0,0,0,0,1984,26.329793
35,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,ctx,262656,0,0,0,0,0,0,384,26.329845
35,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,heap,262656,0,0,0,0,0,0,784,26.329890
35,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,usage,262656,0,0,0,0,0,0,151552,26.329933
37,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,write,68864,566074144,1101372,69612,566074144,281837842,285130752,3601134101846,26.892860
37,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,stack,68864,0,0,0,0,0,0,1984,26.892959
37,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,ctx,68864,0,0,0,0,0,0,384,26.893009
37,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,heap,68864,0,0,0,0,0,0,784,26.893052
37,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,524288,42,0,0,8192,usage,68864,0,0,0,0,0,0,544768,26.893095
36,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,write,139072,560090452,1090512,69789,560090452,278840163,285855744,3604457170297,26.953351
36,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,stack,139072,0,0,0,0,0,0,1984,26.953433
36,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,ctx,139072,0,0,0,0,0,0,384,26.953481
36,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,heap,139072,0,0,0,0,0,0,784,26.953523
36,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,262144,42,0,0,4096,usage,139072,0,0,0,0,0,0,282624,26.953577
39,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,write,18368,574935784,1117250,69998,574935784,285977229,286711808,3625289929399,27.400313
39,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,stack,18368,0,0,0,0,0,0,1984,27.400410
39,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,ctx,18368,0,0,0,0,0,0,384,27.400460
39,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,heap,18368,0,0,0,0,0,0,784,27.400504
39,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,usage,18368,0,0,0,0,0,0,2101248,27.400545
38,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,write,35712,572609213,1113118,69819,572609213,284875042,285978624,3615467836686,27.719482
38,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,stack,35712,0,0,0,0,0,0,1984,27.719570
38,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,ctx,35712,0,0,0,0,0,0,384,27.719614
38,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,heap,35712,0,0,0,0,0,0,784,27.719650
38,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,1048576,42,0,0,16384,usage,35712,0,0,0,0,0,0,1069056,27.719681
